movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt6476256,Clank: Red Mosaic,2017,112 min,"Action, Adventure",8.5,"The deceased friend and mentor, Doctor Alfred, leaves behind a posthumous trail for Clank to follow. With little time to spare he must figure out the mystery behind the disappearance of the ""Red Mosaic"".",Pauli Janhunen Calderón,"Pauli Janhunen Calderón, 
Emilio Janhunen Calderón, 
Daniel Abreu, 
Daniil Piispanen"
tt1505031,Bullets Over Brownsville,2009,94 min,"Action, Drama",8.5,Four parallel stories converge in one of Brooklyn New York's most notorious neighborhoods.,"Damon Diddit, 
Natural Langdon","Assibey Blake, 
Lymiek Chambers, 
Tayibah Clay, 
Jumaane Ford Jr."
tt3889312,Catching Junior Tate,2015,110 min,"Action, Adventure, Comedy",8.5,"A bounty hunter finds himself stranded south of the border with a career criminal being pursued by a hit man, a bookie, a crooked cop, and a loan shark.",Karl Wilson,"Jesse St. Louis, 
Christopher Wynn, 
Mark Troy, 
Greg Burgess"
tt5331854,Precision: The Child Drug Trafficking,2018,80 min,Action,8.5,"Duke, the American goes to Kampala, the capital city of Uganda to visit his brother Paul. Once arrived street kids steals his luggage. He decides to go after them. They lure him into a ...                See full summary »",Sserunya Ernest,"Nawambira Alawiya, 
Ssembatya Ashiraf, 
Sserunya Ernest, 
Paul J. Falzone"
tt14642116,Dope Boys,2020,87 min,"Animation, Action, Crime",8.5,"Dope Boys is a new animation action crime film about a young hustler from Miami in a gritty world of drugs and money, a rags to riches story about his life in the projects and his rise to wealth.",Twant Lavish,Twant Lavish
tt6866948,La Venganza De Los Mendoza,2017,93 min,Action,8.5,Add a Plot,Javier Cruz Jr.,"Victor El Indio Estrada, 
Emilio Montiel, 
Luis Lomeli, 
Pedro Rivera"
tt8351784,The 9,2018,,Action,8.5,Add a Plot,Daniel Hernández Torrado,
tt23814284,Storm of Riders,2022,,Action,8.5,Add a Plot,Chengxu Lan,"Yu-Xuan Wang, 
Su Youchen, 
Pan Yue"
tt0437269,O Judoka,1973,90 min,"Action, Adventure, Comedy",8.5,Add a Plot,Marcelo Motta,"Elizângela, 
Pedro Aguinaga, 
Carlos Aquino, 
Maria Pompeu"
tt15560174,Young Ronin,2022,,"Action, Drama",8.5,"A pair of teenage martial artists are hired to kidnap a teenage celebrity to pay for their friend's operation. However, they must choose between their friend or the girl celebrity when one begins to fall for her.",Mitchell Vanlerberg,"Mitchell Vanlerberg, 
David Scarlatescu, 
Taylor Fraser, 
Peter Kaz"
tt2612322,Alpha Protocol: Solomon's Stele,2012,126 min,Action,8.5,The Alpha Team is sent on a desperate mission to find an artifact hidden by King Solomon before the Serpent Corporation gets their hands on it.,Chuka Ibeachum,"Chuka Ibeachum, 
Eze Ndubuka, 
Anca Iosub, 
Daniel Chirila"
tt0314665,Shiva Sainya,1996,138 min,"Action, Drama",8.5,Add a Plot,Shivamani,"Shivarajkumar, 
Niveditha Jain, 
Arundathi Nag, 
C.R. Simha"
tt1092278,Next to Babilonia,2008,89 min,"Action, Drama, Romance",8.5,"The last day of the Spanish redeployment in the Iraq war, a Spanish soldier gets trapped in an ambush, leading her to fight a new war.",Sebastian Mantilla,"Amaia Arzua, 
Slimani Abdel Aziz, 
Pep Ribas, 
Mohamed Hsain"
tt0452966,Astigmatism,2004,,"Action, Drama",8.5,Add a Plot,Jon Red,"Robin Padilla, 
Albert Martinez, 
Francis Magalona, 
Jeffrey Quizon"
tt1851894,Defending Against Attack 'The Complete Guide',2008,180 min,Action,8.5,Frank unveils the shroud around Karate and teaches a practical approach to Shotokan! A traditionalist who has trained for over 30 years! The first Anglo- Iranian to return to Iran for ...                See full summary »,Frank Nezhadpournia,"Frank Nezhadpournia, 
Mark Lawn, 
Matthew Harris, 
Michelle Ericsson"
tt1300343,Bhale Donga,1989,,"Action, Comedy, Drama",8.5,Add a Plot,A. Kodandarami Reddy,"Nandamuri Balakrishna, 
Mohan Babu, 
Brahmanandam, 
Charan Raj"
