movie_id,movie_name,year,runtime,genre,rating,description,director,star
tt11469466,The Haunted House: The Sky Ghost vs Jormungandr,2019,97 min,"Animation, Action, Adventure",8.9,Add a Plot,Byeon Young-Kyu,"Kim Chaeha, 
Hyunjung Cho, 
Yang Jeong-hwa, 
Yang Jeonghwa"
tt8757056,Tobot Movie: Attack of Robot Force,2017,,"Animation, Action, Adventure",8.9,"Doctor Franklin and his 2 sons, Ryan, and Kory go over to Jeju Island on their holidays. When a robot army comes to Jeju Island and starts to attack humans, it's up to the Tobots to stop them.","Dongwoo Ko, 
Dahl Lee",
tt15873942,Planet of the Astronauts,2022,90 min,"Adventure, Comedy, Sci-Fi",8.9,"Justin Souriau-Levine Studio's most recent production is a fun-filled adventurous comedy about three lovable astronauts who return to Earth after a failed mission to Uranus, and four years ...                See full summary »",Justin Souriau-Levine,"Justin Souriau-Levine, 
Adil Chokairy, 
Roger Younger, 
Emily Hobbs"
tt9517188,3 Bahadur: Rise of the Warriors,2018,94 min,"Animation, Action, Adventure",8.9,"In a safe, peaceful town with all the villains put behind bars--thanks to our heroes--the kids are going about their lives like other children, at times finding controlling their powers ...                See full summary »",Sharmeen Obaid-Chinoy,"Mehwish Hayat, 
Nimra Bucha, 
Mustafa Changazi, 
Sarwat Gilani"
tt14317018,Trunk Train: The Movie,2022,94 min,"Animation, Adventure, Comedy",8.9,"Gajah, an elephant with no memory, is turned into a celebrity overnight. Stardom is short-lived as it ends up becoming the main suspect in mysterious abductions.",Zé Brandão,"Luca De Castro, 
Ed Gama, 
Maira Kesten, 
Elisa Lucinda"
tt1935109,Dipu Number 2,1996,154 min,"Adventure, Family",8.9,An adventure story for young boys.,Morshedul Islam,"Arun Saha, 
Shubashish, 
Bulbul Ahmed, 
Bobita"
tt12064860,Super Mario Bros. Z 4K,2020,200 min,"Animation, Action, Adventure",8.9,The complete original Super Mario Bros. Z series remastered in 4K video quality in one video.,Alen Alic,"Scott Burns, 
Andrew Chandler, 
Dameon Clarke, 
Ryan Drummond"
tt15417090,1997,2021,,Adventure,8.9,Vikram Rathod(Dr. Mohan) is a sincere police officer who is transferred to the Nizampeta village to control the atrocities that are happening there.,Mohan,"Benerji, 
Naveen Chandra, 
Shrikanth Iyyanngar, 
Koti"
tt4859842,Desert,2016,52 min,"Adventure, Drama, History",8.9,This is the longer feature version of the film Desert.,Jonas Wallin,Jonas Wallin
tt5138834,The Liq,2016,90 min,Adventure,8.9,Add a Plot,Benson Bey,"Benson Bey, 
Valencia Wilson, 
Markiss McFadden, 
Caleb Caldwell"
